Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,2.68,3.97,1.47
2,Hà Giang,4.36,3.94,4.46
4,Cao Bằng,4.29,3.49,4.87
6,Bắc Kạn,3.86,4.55,3.6
8,Tuyên Quang,3.64,1.97,3.89
10,Lào Cai,1.94,3.75,1.34
11,Điện Biên,0.51,3.04,0.02
12,Lai Châu,2.28,1.12,2.76
14,Sơn La,1.03,2.56,0.74
15,Yên Bái,3.02,1.3,3.48
17,Hoà Bình,2.96,2,3.25
19,Thái Nguyên,1.57,3.21,0.81
20,Lạng Sơn,7.82,4.83,8.95
22,Quảng Ninh,2.23,2.69,1.34
24,Bắc Giang,1.64,2.42,1.47
25,Phú Thọ,0.93,0.79,0.97
26,Vĩnh Phúc,1.48,2.6,1
27,Bắc Ninh,2.7,2.16,2.98
30,Hải Dương,1.18,1.69,0.93
31,Hải Phòng,2.41,3.8,1.3
33,Hưng Yên,2.05,2.15,2.03
34,Thái Bình,1.72,0.68,1.85
35,Hà Nam,1.91,2.46,1.68
36,Nam Định,1.71,1.84,1.68
37,Ninh Bình,1.34,0.78,1.5
38,Thanh Hoá,1.15,1.31,1.09
40,Nghệ An,2.11,2.73,1.99
42,Hà Tĩnh,5.38,2.02,6.44
44,Quảng Bình,3.6,4.17,3.42
45,Quảng Trị,3.83,4.89,3.29
46,Thừa Thiên Huế,3.6,3.78,3.41
48,Đà Nẵng,8.06,8.63,4.25
49,Quảng Nam,4.21,7.96,2.82
51,Quảng Ngãi,2.28,2.77,2.15
52,Bình Định,2.75,3.77,2.02
54,Phú Yên,3.29,2.15,3.83
56,Khánh Hoà,5.72,6.85,4.89
58,Ninh Thuận,3.43,3.73,3.25
60,Bình Thuận,3.5,3.04,3.79
62,Kon Tum,0.51,0.82,0.37
64,Gia Lai,0.7,0.73,0.69
66,Đắk Lắk,1.05,1.53,0.9
67,Đắk Nông,0.66,1.33,0.54
68,Lâm Đồng,1.49,3.25,0.47
70,Bình Phước,3.01,4.88,2.42
72,Tây Ninh,2.66,3.4,2.32
74,Bình Dương,2.2,2.32,1.42
75,Đồng Nai,2.22,1.66,2.66
77,Bà Rịa - Vũng Tàu,9.18,10.68,7.16
79,Thành phố Hồ Chí Minh,6.4,7.27,2.98
80,Long An,2.28,3.17,2.11
82,Tiền Giang,7.32,7.28,7.33
83,Bến Tre,2.09,1.23,2.17
84,Trà Vinh,4.01,3.7,4.07
86,Vĩnh Long,3.32,5.48,2.7
87,Đồng Tháp,5.44,7.17,4.99
89,An Giang,4.52,5.51,4.01
91,Kiên Giang,4.52,4.44,4.55
92,Cần Thơ,3.96,4.35,3.01
93,Hậu Giang,5.43,7.85,4.5
94,Sóc Trăng,3.13,2.15,3.59
95,Bạc Liêu,2.35,3.8,1.8
96,Cà Mau,2.52,4.65,1.86
