Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,2.22,3.33,1.21
2,Hà Giang,4.25,3.83,4.36
4,Cao Bằng,3.73,2.41,4.48
6,Bắc Kạn,3.16,3.62,2.96
8,Tuyên Quang,3.56,1.99,3.84
10,Lào Cai,1.47,2.05,1.27
11,Điện Biên,0.39,1.16,0.25
12,Lai Châu,1.23,1.08,1.28
14,Sơn La,2.38,4.41,2.01
15,Yên Bái,2.89,0.97,3.43
17,Hòa Bình,1.21,0.72,1.35
19,Thái Nguyên,1.47,2.12,1.17
20,Lạng Sơn,6.34,1.48,8.14
22,Quảng Ninh,2.21,2.52,1.6
24,Bắc Giang,0.79,1.39,0.66
25,Phú Thọ,1.12,0.55,1.26
26,Vĩnh Phúc,1.46,1.76,1.35
27,Bắc Ninh,2.55,2.28,2.7
30,Hải Dương,1.5,1.66,1.42
31,Hải Phòng,2.36,3.37,1.58
33,Hưng Yên,1.86,0.85,2.07
34,Thái Bình,1.13,0.56,1.2
35,Hà Nam,0.91,0.42,1.05
36,Nam Định,1.65,1.81,1.61
37,Ninh Bình,1.32,1.1,1.38
38,Thanh Hóa,1.12,0.73,1.29
40,Nghệ An,1.77,1.76,1.78
42,Hà Tĩnh,5.43,3.46,6.1
44,Quảng Bình,3.35,2.65,3.59
45,Quảng Trị,2.77,3.3,2.5
46,Thừa Thiên Huế,3.55,4.28,2.69
48,Đà Nẵng,2.42,2.28,3.22
49,Quảng Nam,4.05,4.96,3.72
51,Quảng Ngãi,1.82,1.65,1.87
52,Bình Định,2.54,3.72,1.65
54,Phú Yên,2.95,1.63,3.55
56,Khánh Hòa,3.37,3.56,3.24
58,Ninh Thuận,1.99,2.82,1.54
60,Bình Thuận,3.5,3.44,3.54
62,Kon Tum,0.67,1.32,0.38
64,Gia Lai,0.52,0.96,0.35
66,Đắk Lắk,0.81,1.11,0.72
67,Đắk Nông,0.64,0.58,0.66
68,Lâm Đồng,0.65,1.05,0.42
70,Bình Phước,2.05,2.75,1.74
72,Tây Ninh,1.69,1.42,1.82
74,Bình Dương,1.31,1.23,1.8
75,Đồng Nai,1.81,1.53,2.03
77,Bà Rịa-Vũng Tàu,2.81,3.15,2.29
79,Thành phố Hồ Chí Minh,4.19,4.51,2.89
80,Long An,1.89,2.85,1.71
82,Tiền Giang,2.03,2.75,1.92
83,Bến Tre,2,1.6,2.04
84,Trà Vinh,2.66,3.31,2.52
86,Vĩnh Long,2.88,4.22,2.49
87,Đồng Tháp,4.94,6.52,4.53
89,An Giang,3.32,3.34,3.31
91,Kiên Giang,2.82,1.57,3.33
92,Cần Thơ,3.72,4.28,2.37
93,Hậu Giang,1.69,1.46,1.8
94,Sóc Trăng,3.37,3.66,3.22
95,Bạc Liêu,2.12,2.93,1.81
96,Cà Mau,1.47,2.33,1.21
