Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,1.93,2.55,1.01
2,Hà Giang,0.31,1.57,0.12
4,Cao Bằng,0.95,2.75,0.49
6,Bắc Kạn,0.71,3.09,0.26
8,Tuyên Quang,1.18,1.91,1.08
10,Lào Cai,1,2.94,0.52
11,Điện Biên,0.46,2.93,0.07
12,Lai Châu,0.36,1.51,0.13
14,Sơn La,0.21,0.56,0.16
15,Yên Bái,0.44,1.13,0.29
17,Hoà Bình,0.54,1.18,0.46
19,Thái Nguyên,1.08,1.41,0.93
20,Lạng Sơn,2.76,3.42,2.62
22,Quảng Ninh,3,3.86,1.71
24,Bắc Giang,0.97,1.77,0.88
25,Phú Thọ,1.66,2.58,1.48
26,Vĩnh Phúc,1.64,2.2,1.47
27,Bắc Ninh,1.86,2.48,1.64
30,Hải Dương,2.42,3.39,2.12
31,Hải Phòng,3.06,3.91,2.39
33,Hưng Yên,1.15,9.33,0.01
34,Thái Bình,1.14,1.39,1.12
35,Hà Nam,1.85,2.91,1.69
36,Nam Định,0.55,0.89,0.48
37,Ninh Bình,1.09,1.65,0.97
38,Thanh Hoá,1.47,2.25,1.33
40,Nghệ An,1.13,3.22,0.81
42,Hà Tĩnh,4.04,4.7,3.89
44,Quảng Bình,3.04,2.8,3.1
45,Quảng Trị,3.2,4.44,2.69
46,Thừa Thiên Huế,4.01,4.16,3.86
48,Đà Nẵng,3.97,4.3,1.92
49,Quảng Nam,2.79,3.98,2.45
51,Quảng Ngãi,2.02,3.51,1.79
52,Bình Định,2.6,3.46,2.24
54,Phú Yên,1.09,1.7,0.87
56,Khánh Hoà,3.15,3.45,2.92
58,Ninh Thuận,3,4.78,2.1
60,Bình Thuận,2.64,3.92,1.87
62,Kon Tum,0.96,1.89,0.49
64,Gia Lai,0.77,1.39,0.52
66,Đắk Lắk,1.85,2.58,1.61
67,Đắk Nông,0.71,1.64,0.56
68,Lâm Đồng,0.08,0.12,0.05
70,Bình Phước,2.84,2.27,3.01
72,Tây Ninh,1.39,1.6,1.34
74,Bình Dương,2.19,2.21,2.11
75,Đồng Nai,2.54,3.58,2
77,Bà Rịa - Vũng Tàu,2.1,2.65,1.54
79,Thành phố Hồ Chí Minh,2.79,3.06,1.76
80,Long An,2.2,2.76,2.09
82,Tiền Giang,1.49,4.13,1.07
83,Bến Tre,0.28,0.26,0.28
84,Trà Vinh,2.63,2.95,2.56
86,Vĩnh Long,3.81,6.29,3.33
87,Đồng Tháp,3.13,4.96,2.78
89,An Giang,2.18,2.76,1.93
91,Kiên Giang,2.72,2.5,2.81
92,Cần Thơ,3.35,3.49,3.06
93,Hậu Giang,1.61,3.63,1
94,Sóc Trăng,3,5.14,2.12
95,Bạc Liêu,3.19,2.94,3.28
96,Cà Mau,2.24,3.83,1.81
