Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,0.57,0.9,0.28
2,Hà Giang,0.85,0.39,0.93
4,Cao Bằng,1.12,2.07,0.87
6,Bắc Kạn,2.33,1.18,2.58
8,Tuyên Quang,2.15,1.27,2.28
10,Lào Cai,2,1.05,2.25
11,Điện Biên,3.47,1.74,3.74
12,Lai Châu,1.17,1.43,1.13
14,Sơn La,0.54,0.35,0.56
15,Yên Bái,1.62,0.57,1.83
17,Hoà Bình,0.6,0.07,0.68
19,Thái Nguyên,0.95,1.24,0.85
20,Lạng Sơn,2.77,1.58,3.01
22,Quảng Ninh,0.29,0.13,0.54
24,Bắc Giang,0.82,0.38,0.88
25,Phú Thọ,1.39,0.2,1.6
26,Vĩnh Phúc,0.85,0.46,0.98
27,Bắc Ninh,0.5,0.16,0.61
30,Hải Dƣơng,0.92,0.7,1.01
31,Hải Phòng,1,0.89,1.08
33,Hƣng Yên,1.57,0.41,1.82
34,Thái Bình,0.22,0.18,0.23
35,Hà Nam,0.46,0.24,0.5
36,Nam Định,1.44,0.54,1.62
37,Ninh Bình,0.93,0.29,1.08
38,Thanh Hoá,1.73,1.19,1.81
40,Nghệ An,2.45,1.25,2.62
42,Hà Tĩnh,2.86,0.99,3.29
44,Quảng Bình,3.4,0.72,4.08
45,Quảng Trị,1.97,1.48,2.18
46,Thừa Thiên Huế,1.07,0.79,1.34
48,Đà Nẵng,0.57,0.41,1.59
49,Quảng Nam,1.02,0.69,1.12
51,Quảng Ngãi,1.59,0.08,1.88
52,Bình Định,1.65,1.32,1.78
54,Phú Yên,1.43,1.01,1.58
56,Khánh Hoà,0.94,0.55,1.19
58,Ninh Thuận,1.6,0.92,1.96
60,Bình Thuận,0.66,0.87,0.53
62,Kon Tum,0.3,0.59,0.18
64,Gia Lai,0.62,0.6,0.62
66,Đắk Lắk,1.82,1.05,2.06
67,Đắk Nông,0.77,0.6,0.8
68,Lâm Đồng,1.23,0.58,1.6
70,Bình Phƣớc,1.93,0.38,2.37
72,Tây Ninh,0.44,0.15,0.5
74,Bình Dƣơng,0.31,0.34,0.19
75,Đồng Nai,0.27,0.35,0.24
77,Bà Rịa-Vũng Tàu,0.67,0.52,0.89
79,Thành phố Hồ Chí Minh,0.25,0.32,0.04
80,Long An,1.64,0.79,1.8
82,Tiền Giang,2,2.33,1.95
83,Bến Tre,2.84,0.64,3.06
84,Trà Vinh,2.03,1.03,2.23
86,Vĩnh Long,4.2,0.83,4.8
87,Đồng Tháp,2.55,2.65,2.53
89,An Giang,1.61,1.06,1.86
91,Kiên Giang,2.71,0.77,3.49
92,Cần Thơ,1.65,1.56,1.84
93,Hậu Giang,2.57,1.19,3.05
94,Sóc Trăng,2.57,1.63,3.02
95,Bạc Liêu,1.18,0.4,1.46
96,Cà Mau,4.38,0.78,5.31
