Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,0.9,0.57,1.13
2,Hà Giang,2.8,1.74,2.99
4,Cao Bằng,2.45,2.98,2.32
6,Bắc Kạn,3.5,3.88,3.42
8,Tuyên Quang,4.31,4.7,4.27
10,Lào Cai,2.33,1.21,2.62
11,Điện Biên,3.06,1.89,3.25
12,Lai Châu,2.5,1.94,2.58
14,Sơn La,1.01,1.68,0.93
15,Yên Bái,1.32,1.17,1.35
17,Hoà Bình,1.76,1.25,1.81
19,Thái Nguyên,2.3,2.69,2.15
20,Lạng Sơn,5.15,2.74,5.67
22,Quảng Ninh,0.79,0.95,0.54
24,Bắc Giang,1.22,1.58,1.16
25,Phú Thọ,2.36,1.55,2.55
26,Vĩnh Phúc,2.37,1.37,2.74
27,Bắc Ninh,1.25,0.58,1.52
30,Hải Dƣơng,1.73,1.81,1.7
31,Hải Phòng,1.75,1.92,1.63
33,Hƣng Yên,1.92,1.24,2.05
34,Thái Bình,1.53,0.61,1.62
35,Hà Nam,0.75,0.95,0.7
36,Nam Định,1.7,1.01,1.86
37,Ninh Bình,2.24,0.44,2.7
38,Thanh Hoá,2.35,0.79,2.7
40,Nghệ An,2.58,0.94,2.81
42,Hà Tĩnh,4.58,3.07,4.99
44,Quảng Bình,3.91,4.29,3.81
45,Quảng Trị,4.84,4.47,5
46,Thừa Thiên Huế,2.12,1.84,2.39
48,Đà Nẵng,3.32,3.28,3.52
49,Quảng Nam,3.2,2.21,3.58
51,Quảng Ngãi,3.07,2.36,3.19
52,Bình Định,2.8,2.41,2.98
54,Phú Yên,4.44,4.33,4.48
56,Khánh Hoà,3.62,1.93,4.63
58,Ninh Thuận,3.28,2.1,3.87
60,Bình Thuận,2.55,1.5,3.14
62,Kon Tum,0.47,0.72,0.37
64,Gia Lai,4.83,3.39,5.32
66,Đắk Lắk,7.76,4.86,8.71
67,Đắk Nông,1.57,0.69,1.71
68,Lâm Đồng,5.75,2.3,7.78
70,Bình Phƣớc,3.71,1.79,4.22
72,Tây Ninh,1.56,1.48,1.59
74,Bình Dƣơng,1.47,1.49,1.36
75,Đồng Nai,2.42,3.17,1.88
77,Bà Rịa-Vũng Tàu,2.44,2.09,2.9
79,Thành phố Hồ Chí Minh,1.02,1.16,0.55
80,Long An,3.04,2.87,3.07
82,Tiền Giang,5.49,6.79,5.32
83,Bến Tre,3.89,1.05,4.17
84,Trà Vinh,4.05,1.7,4.5
86,Vĩnh Long,4.71,2.62,5.15
87,Đồng Tháp,3.71,3.84,3.69
89,An Giang,2.72,1.13,3.43
91,Kiên Giang,3.2,0.71,4.13
92,Cần Thơ,2.75,1.05,7.54
93,Hậu Giang,1.84,1.08,2.07
94,Sóc Trăng,3.09,2.18,3.5
95,Bạc Liêu,1.77,1.57,1.84
96,Cà Mau,3.3,1.17,3.84
