Mã số,Tỉnh,Chung,Thành thị,Nông thôn
1,Hà Nội,1.43,1.09,1.74
2,Hà Giang,1.41,1.76,1.32
4,Cao Bằng,5.52,1.24,8.7
6,Bắc Kạn,3.98,2.64,4.49
8,Tuyên Quang,3.03,1.7,3.24
10,Lào Cai,0.76,1.03,0.67
11,Điện Biên,0.63,2.95,0.2
12,Lai Châu,1.21,1.25,1.19
14,Sơn La,0.38,0.81,0.3
15,Yên Bái,2.37,2.21,2.41
17,Hoà Bình,3.12,1.84,3.51
19,Thái Nguyên,3.32,2.22,3.82
20,Lạng Sơn,3.62,3.26,3.76
22,Quảng Ninh,0.16,0.15,0.17
24,Bắc Giang,0.7,1.09,0.62
25,Phú Thọ,1.67,1.74,1.66
26,Vĩnh Phúc,1.54,1.53,1.54
27,Bắc Ninh,1.31,1.73,1.09
30,Hải Dương,1.63,1.08,1.9
31,Hải Phòng,2.25,3.33,1.41
33,Hưng Yên,3.83,6.36,3.33
34,Thái Bình,0.53,0.02,0.59
35,Hà Nam,0.49,0.37,0.54
36,Nam Định,2.01,2.27,1.95
37,Ninh Bình,1.11,0.84,1.18
38,Thanh Hoá,1.83,1.53,1.92
40,Nghệ An,3.88,4.82,3.71
42,Hà Tĩnh,3.14,1.45,3.69
44,Quảng Bình,3.58,1.5,4.23
45,Quảng Trị,4.81,5.12,4.65
46,Thừa Thiên Huế,1.82,1.35,2.34
48,Đà Nẵng,5.89,6.59,1.44
49,Quảng Nam,3.83,4.85,3.47
51,Quảng Ngãi,5.21,5.66,5.08
52,Bình Định,2.16,2.61,1.84
54,Phú Yên,3.78,2.6,4.35
56,Khánh Hoà,7.65,8.62,6.95
58,Ninh Thuận,7.57,12.32,4.9
60,Bình Thuận,2.26,1.77,2.57
62,Kon Tum,1.23,1.76,0.98
64,Gia Lai,2.45,1.78,2.73
66,Đắk Lắk,6.87,6.97,6.84
67,Đắk Nông,1.08,1.15,1.06
68,Lâm Đồng,2.36,2.22,2.43
70,Bình Phước,4.56,1.28,5.56
72,Tây Ninh,2.03,0.84,2.58
74,Bình Dương,4.95,5.65,0.4
75,Đồng Nai,2.7,3.24,2.27
77,Bà Rịa - Vũng Tàu,5.99,7.49,4.05
79,Thành phố Hồ Chí Minh,3.59,3.95,2.24
80,Long An,3.19,5.52,2.74
82,Tiền Giang,6.53,11.45,5.81
83,Bến Tre,4.4,2.36,4.61
84,Trà Vinh,5.75,3.33,6.26
86,Vĩnh Long,5.26,3.9,5.64
87,Đồng Tháp,3.05,3.77,2.87
89,An Giang,4.97,3.68,5.62
91,Kiên Giang,6.31,3.38,7.49
92,Cần Thơ,2.16,1.83,2.96
93,Hậu Giang,5.65,2.86,6.68
94,Sóc Trăng,3.89,5.22,3.24
95,Bạc Liêu,1.3,2.75,0.75
96,Cà Mau,2.39,2.33,2.41
